"U.S. agricultural exports, State detail by commodity: calendar years 2000-20",,,,,,,,,,,,,,,, , , , ,,
Minnesota,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,,,,,,,,Million $,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Beef and veal,79.5,78.5,70.8,84.1,16.7,28.1,39.3,57.4,72.1,69.3,96.0,112.3,122.6,152.2,209.7,164.9,182.8,218.3,257.1,243.9,215.2
Pork,138.3,177.1,166.1,188.7,269.0,320.8,353.2,400.7,612.8,567.0,611.9,739.3,797.7,726.3,846.7,681.0,721.2,802.3,763.2,859.7,906.8
Hides and skins,62.4,86.8,69.4,71.6,76.3,77.9,86.9,99.2,100.6,73.3,115.6,123.9,134.5,155.2,156.3,112.4,96.2,99.0,75.8,56.0,40.0
Other livestock products 1/,20.8,25.2,26.0,35.4,30.7,31.3,32.7,38.0,101.4,90.4,103.6,113.0,111.8,88.6,85.6,83.0,85.3,112.9,110.3,118.3,140.1
Dairy products,53.6,57.1,46.5,49.1,70.9,76.0,84.1,142.1,178.6,109.8,170.4,218.0,243.0,307.2,321.7,241.6,218.4,246.4,251.5,277.6,321.1
Broiler meat,7.7,9.3,7.1,7.6,8.7,10.0,8.6,13.3,16.6,17.0,14.7,17.6,22.8,23.8,22.2,15.6,15.5,20.3,20.0,21.6,18.5
Other poultry products 2/,53.9,61.3,55.5,62.7,73.6,102.1,107.9,117.3,127.2,121.3,146.7,170.3,172.7,169.3,185.8,122.3,157.7,143.5,122.8,131.5,136.8
"Vegetables, fresh",16.5,19.8,19.8,24.2,24.4,32.0,28.5,36.4,53.0,42.1,44.0,47.8,60.5,51.9,61.7,46.4,47.8,47.1,54.1,56.0,70.0
"Vegetables, processed",25.2,29.8,28.1,31.6,32.7,42.0,37.6,50.0,85.9,67.9,68.5,77.6,113.4,93.4,117.5,88.6,92.6,88.4,90.9,94.0,115.6
"Fruits, fresh",2.0,2.6,2.5,2.9,3.0,3.1,3.2,3.9,4.1,2.7,3.4,4.8,2.2,4.6,4.6,4.4,3.5,4.4,0.0,0.0,0.0
"Fruits, processed",1.8,2.3,2.2,2.6,2.9,2.5,2.9,3.8,3.8,2.4,3.0,4.4,1.9,4.0,4.1,4.3,3.3,3.8,0.0,0.0,0.0
Tree nuts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wheat,143.6,157.7,167.2,161.6,227.6,173.5,182.1,320.5,513.2,216.8,267.4,541.8,261.2,377.2,255.0,217.3,214.2,293.6,277.2,285.5,255.8
Corn,348.3,311.4,436.2,405.3,534.8,383.0,681.7,878.5,"1,272.2",752.5,885.2,"1,221.0",934.0,800.1,904.1,717.2,914.9,885.1,"1,167.0",675.5,805.5
Feeds and other feed grains 3/,203.3,192.1,232.1,234.2,242.9,230.6,313.9,387.4,547.7,427.7,541.8,623.4,736.7,"1,041.1",775.9,808.2,726.1,727.2,737.9,641.9,710.5
"Grain products, processed",85.9,83.0,114.2,121.1,141.3,140.7,190.2,217.2,234.6,219.0,254.4,289.9,333.5,417.4,287.2,288.1,299.7,312.6,313.4,279.3,270.0
Soybeans,539.5,494.2,592.0,819.6,579.4,551.0,684.8,927.6,"1,637.9","1,413.0","1,679.3","1,561.2","2,344.5","2,010.7","1,912.4","1,566.3","2,071.8","1,839.7","1,468.8","1,583.2","2,109.1"
Soybean meal,131.0,136.7,140.2,131.1,113.3,130.7,164.5,200.9,339.8,301.2,317.2,285.7,462.9,507.1,440.6,398.2,370.5,334.1,439.5,372.5,390.3
Vegetable oils,112.0,97.2,152.0,155.8,129.7,127.5,162.1,211.6,381.1,243.9,325.3,326.1,358.9,298.1,236.9,234.0,250.8,240.2,226.5,222.3,258.3
Other oilseeds and products 4/,19.3,14.6,16.7,13.7,17.3,15.2,26.4,28.2,39.4,24.1,26.2,25.2,18.5,25.6,32.5,35.1,36.7,22.5,27.5,31.5,35.7
Cotton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tobacco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other plant products 5/,161.1,172.4,171.8,240.1,217.1,242.9,321.9,320.4,344.6,348.2,438.6,541.4,568.3,655.0,525.4,510.4,529.1,513.2,539.4,416.4,417.2
,,,,,,,,,,,,,,,,,,,,,
Total agricultural exports,"2,205.6","2,209.1","2,516.3","2,843.1","2,812.0","2,721.2","3,512.4","4,454.4","6,666.5","5,109.5","6,113.2","7,044.8","7,801.6","7,908.9","7,385.7","6,339.2","7,038.2","6,954.7","6,942.7","6,366.6","7,216.5"
,,,,,,,,,,,,,,,,,,,,,
Total animal products,416.2,495.3,441.3,499.2,545.9,646.4,712.6,868.0,"1,209.3","1,048.1","1,259.0","1,494.5","1,605.0","1,622.6","1,827.9","1,420.7","1,477.1","1,642.7","1,600.6","1,708.7","1,778.5"
Total plant products,"1,789.4","1,713.8","2,075.0","2,343.9","2,266.1","2,074.8","2,799.7","3,586.4","5,457.3","4,061.4","4,854.2","5,550.3","6,196.6","6,286.3","5,557.8","4,918.5","5,561.1","5,312.0","5,342.1","4,657.9","5,438.0"
,,,,,,,,,,,,,,,,,,,,,
"1/ Includes other nonpoultry meats, animal fat, live farm animals, and other animal parts.",,,,,,,,,,,,,,,,,,,,,
"2/ Includes turkey meat, eggs, and other fowl products. ",,,,,,,,,,,,,,,,,,,,,
"3/ Includes processed feeds, fodder, barley, oats, rye, and sorghum.",,,,,,,,,,,,,,,,,,,,,
"4/ Includes peanuts (oilstock), other oil crops, corn meal, other oilcake and meal, protein substances, bran, and residues.",,,,,,,,,,,,,,,,,,,,,
"5/ Includes sweeteners and products, other horticulture products, planting seeds, cocoa, coffee, and other processed foods.",,,,,,,,,,,,,,,,,,,,,
"Data sources: USDA, Economic Research Service; USDA, Foreign Agricultural Service, Global Agricultural Trade System.",,,,,,,,,,,,,,,,,,,,,
